Generation,BestFitness,AvgFitness,AvgSigma
1,35.7943,34.1885,1.0000
2,36.1298,35.5194,1.0178
3,37.1085,36.0301,0.9756
4,38.1748,36.6678,0.9604
5,38.7972,37.4741,0.9684
6,38.8725,37.6471,0.9168
7,39.6718,38.0522,0.8776
8,40.5601,39.0206,0.8718
9,42.1287,39.2293,0.8928
10,41.7561,40.0029,0.9172
11,40.2307,39.2657,0.9085
12,41.2091,39.8005,0.8264
13,40.2480,39.3574,0.7342
14,42.8760,40.2242,0.7376
15,41.0397,40.3515,0.8088
16,41.7734,40.4704,0.8358
17,41.7364,40.8064,0.9195
18,41.1541,40.3780,0.8953
19,41.9885,40.6250,0.9568
20,41.5075,40.4555,0.9807
21,43.3123,41.4768,0.9659
22,42.3730,41.3649,0.9727
23,42.4606,41.1820,0.9644
24,42.1762,41.0678,0.9681
25,42.5534,41.3975,0.9646
26,42.6572,41.2303,1.0176
27,43.9159,41.7852,1.0463
28,42.4411,41.3528,1.0766
29,43.8500,42.6094,1.1024
30,44.2071,41.4416,1.1118
31,43.4708,41.9088,1.0914
32,44.2428,42.0690,1.1170
33,43.3783,41.6560,1.0664
34,45.3276,42.5645,1.0087
35,43.6736,42.2677,0.9861
36,44.0687,42.4301,0.9908
37,43.6233,42.0985,1.0268
38,44.1084,42.5103,1.0726
39,44.5390,42.4991,1.0780
40,45.3715,42.7366,1.0580
41,43.8951,42.5643,1.0197
42,44.9012,43.0817,0.9409
43,44.8068,43.3191,0.8849
44,45.7679,43.1923,0.8544
45,46.1331,44.1927,0.8610
46,45.0514,43.7640,0.8758
47,44.8831,43.7682,0.8423
48,45.0955,43.8426,0.8462
49,45.5183,43.4938,0.8091
50,45.8190,44.2376,0.8163
51,46.2978,44.3767,0.8604
52,44.9986,44.0426,0.8776
53,45.4286,44.1963,0.9077
54,45.9845,44.7549,0.9511
55,45.6638,44.4524,0.9765
56,45.1902,44.4630,0.9811
57,46.0674,44.9850,0.9240
58,47.5857,44.9356,0.9151
59,45.9581,44.8796,0.9046
60,46.0686,44.9579,0.8645
61,46.6848,45.2963,0.8052
62,46.8314,45.4516,0.7358
63,46.2647,45.4449,0.7046
64,47.9596,45.9274,0.7241
65,47.5083,45.5678,0.7280
66,45.9906,45.3343,0.7274
67,46.6296,45.5479,0.7247
68,46.7745,45.8577,0.7251
69,46.9970,45.5947,0.6958
70,46.5071,45.6348,0.6632
71,47.0128,45.6491,0.6527
72,46.3794,45.4603,0.6294
73,45.7011,45.2184,0.6299
74,47.6729,45.4061,0.6369
75,46.3565,45.5605,0.6402
76,47.1105,45.8619,0.6603
77,48.0274,46.1687,0.6795
78,47.6185,46.0935,0.7053
79,46.8839,46.1137,0.7419
80,46.9040,45.9565,0.7653
81,47.2771,46.5720,0.7631
82,47.0736,46.4619,0.8022
83,46.2780,45.2741,0.7342
84,46.8326,46.1218,0.6636
85,47.5632,46.5236,0.6701
86,47.8507,46.6674,0.6551
87,46.9915,46.3198,0.6680
88,47.4332,46.5326,0.6971
89,47.1006,46.7231,0.6832
90,47.5653,46.5043,0.6813
91,47.5004,46.0504,0.6791
92,49.1306,47.0236,0.6951
93,49.7259,47.2417,0.6608
94,50.7779,46.8565,0.6481
95,47.8627,46.3967,0.6155
96,47.7727,46.7839,0.5703
97,48.1613,46.7645,0.5603
98,47.3272,46.4840,0.5702
99,48.0177,47.2122,0.5901
100,47.2408,46.7664,0.6045
101,48.2416,46.7226,0.5959
102,47.7060,47.2095,0.6050
103,47.2580,46.4486,0.6069
104,47.5955,47.1224,0.5914
105,49.5097,47.4300,0.6129
106,50.1216,47.0495,0.6177
107,47.9887,46.1382,0.6060
108,48.1212,46.7984,0.6593
109,47.7145,47.0102,0.6492
110,48.3860,47.2955,0.6559
111,48.9889,46.4633,0.6238
112,49.1737,47.5807,0.6234
113,47.7194,47.1392,0.6120
114,47.9867,46.7966,0.6008
115,48.5172,46.7762,0.5648
116,48.8124,47.7223,0.6238
117,47.5820,46.9834,0.6785
118,50.6589,48.4269,0.6904
119,49.4866,46.8171,0.6711
120,49.4179,47.4600,0.6635
121,48.2776,47.0393,0.6410
122,49.1239,47.4043,0.6172
123,50.1425,46.9931,0.6081
124,48.7075,47.6272,0.5969
125,48.8500,47.4240,0.6183
126,49.1970,47.0624,0.6800
127,49.2566,47.4353,0.6931
128,49.1489,47.3001,0.6423
129,49.7337,48.2738,0.6412
130,49.4822,47.9615,0.6283
131,48.7211,47.8699,0.5880
132,50.1133,48.2437,0.5829
133,49.4941,48.4001,0.5315
134,50.0519,48.3091,0.5495
135,49.1905,48.4408,0.5326
136,49.4859,48.2760,0.5258
137,49.9525,48.6392,0.5498
138,48.5951,48.0320,0.5602
139,49.0777,48.4890,0.5320
140,49.2930,48.2205,0.5318
141,49.7112,48.3863,0.5350
142,49.8577,48.5076,0.5669
143,49.3154,47.9263,0.5779
144,49.9046,48.7072,0.5580
145,49.1875,47.5110,0.5572
146,49.2780,48.4577,0.5098
147,48.0658,47.4434,0.4819
148,49.5951,48.3501,0.4772
149,49.2255,48.3034,0.4571
150,49.8152,47.8960,0.4479
151,48.5274,47.5686,0.4277
152,48.5357,47.7583,0.4252
153,48.7180,48.0791,0.4057
154,48.3882,47.9210,0.3803
155,48.8396,48.2045,0.3986
156,49.4051,48.2369,0.3851
157,49.5346,48.3592,0.3946
158,48.8436,48.3337,0.4053
159,49.1601,48.4744,0.3920
160,48.4566,48.0776,0.3869
161,49.4951,48.0040,0.3747
162,49.2576,48.2365,0.3603
163,50.0131,48.6100,0.3827
164,49.6578,48.4287,0.3677
165,48.7015,48.1994,0.3574
166,48.6085,48.0887,0.3890
167,48.7610,48.2274,0.3744
168,49.1184,48.5155,0.3604
169,49.0174,48.2232,0.3778
170,49.5057,48.1482,0.3872
171,49.0317,48.2605,0.3996
172,48.7390,47.8982,0.3928
173,48.7350,48.1540,0.3852
174,49.0821,48.2341,0.3929
175,49.1142,48.6097,0.3727
176,48.8812,48.1728,0.3704
177,48.8639,48.3653,0.3713
178,49.2950,48.3490,0.3661
179,48.9817,48.3366,0.3440
180,48.5968,48.1203,0.3297
181,48.7541,48.1828,0.3209
182,48.9101,48.0469,0.2977
183,49.4496,48.4845,0.2985
184,50.0816,48.0682,0.2939
185,49.7839,48.4052,0.3225
186,48.6210,48.0619,0.3287
187,49.3039,48.2856,0.3203
188,48.8474,47.9803,0.2989
189,49.1757,48.2489,0.3064
190,49.2008,47.9128,0.3039
191,50.0803,48.6300,0.3064
192,50.0344,48.4762,0.2896
193,50.1644,48.3306,0.2799
194,49.0899,48.1303,0.2886
195,49.1576,48.5526,0.2820
196,49.9339,48.4057,0.2857
197,50.8027,48.7868,0.2848
198,50.1380,48.9622,0.2849
199,49.3882,48.6630,0.2950
200,50.2466,49.0212,0.2913
