Generation,BestFitness,AvgFitness,AvgSigma
1,25.8381,24.6589,
2,25.991,25.1787,
3,26.5077,25.6967,
4,26.38,25.4182,
5,27.0204,25.9761,
6,26.6117,25.4265,
7,27.6557,26.514,
8,27.7132,26.6903,
9,27.8727,26.9359,
10,28.3152,27.0167,
11,28.7445,27.7314,
12,28.7737,27.748,
13,28.1416,27.2598,
14,28.5345,27.3371,
15,28.9554,27.8086,
16,29.3752,28.4648,
17,29.7471,28.9059,
18,29.5986,28.4584,
19,30.0968,28.9696,
20,30.0387,29.1021,
21,30.3063,29.0309,
22,30.2923,29.4168,
23,30.6618,29.6456,
24,30.7578,29.486,
25,31.095,30.0851,
26,31.9283,30.8091,
27,31.5519,30.5531,
28,32.8509,31.9138,
29,32.4337,31.1417,
30,32.5657,31.561,
31,32.4772,31.2301,
32,33.1693,32.2543,
33,33.011,32.1044,
34,33.4448,32.6292,
35,34.4007,33.2748,
36,33.8283,32.8441,
37,34.4264,33.1942,
38,34.0952,33.0586,
39,34.5201,33.236,
40,35.2863,34.3936,
41,34.7915,33.5572,
42,35.7478,34.5595,
43,35.6409,34.4554,
44,35.4843,34.2619,
45,36.0673,34.8868,
46,36.3938,35.2807,
47,36.5131,35.6475,
48,36.08,35.2637,
49,36.5574,35.2969,
50,36.9257,35.8174,
51,36.9851,35.7868,
52,37.1443,36.1035,
53,37.0758,36.2172,
54,36.7933,35.9307,
55,37.1566,36.0138,
56,37.2228,36.2076,
57,37.2328,36.3325,
58,37.3571,36.3113,
59,37.3279,36.4958,
60,37.273,36.1821,
61,37.1873,36.2528,
62,36.8893,35.6905,
63,37.3275,36.3724,
64,37.3033,36.2757,
65,37.3362,36.5304,
66,37.0467,36.2104,
67,37.1059,36.1097,
68,37.5529,36.5129,
69,37.3545,36.2545,
70,37.5189,36.573,
71,37.4083,36.2609,
72,37.4288,36.1987,
73,37.6306,36.4407,
74,37.3599,36.5401,
75,37.5024,36.4622,
76,37.4109,36.5584,
77,37.4366,36.5156,
78,37.4818,36.1885,
79,37.6082,36.7369,
80,37.4881,36.4387,
81,37.8552,36.7461,
82,37.4452,36.294,
83,37.6069,36.5271,
84,37.5765,36.7716,
85,37.974,37.0107,
86,37.744,36.6852,
87,37.9312,37.0873,
88,37.4479,36.4725,
89,37.8185,37.0019,
90,37.9632,37.1239,
91,37.8218,36.8234,
92,38.0386,37.1722,
93,37.7422,36.6584,
94,38.1476,37.0029,
95,38.3457,37.1454,
96,37.8335,36.9334,
97,37.8371,36.9533,
98,38.237,37.3847,
99,38.2824,37.1641,
100,37.882,36.7288,
101,37.9227,37.1069,
102,37.9705,36.7024,
103,37.7781,36.9521,
104,37.8834,36.8127,
105,37.8864,36.7319,
106,37.9538,36.7183,
107,38.1206,36.9635,
108,38.1945,36.9936,
109,38.4779,37.5082,
110,37.9882,36.7808,
111,38.4049,37.5649,
112,38.1854,36.938,
113,38.2384,37.1646,
114,38.4034,37.1948,
115,38.064,37.0379,
116,38.3852,37.2634,
117,38.3621,37.2989,
118,38.4475,37.2817,
119,38.427,37.5861,
120,38.8803,38.0501,
121,38.2818,37.3583,
122,38.3233,37.4436,
123,38.325,37.0891,
124,38.3587,37.4491,
125,38.3625,37.0745,
126,38.7479,37.7794,
127,38.8143,37.9232,
128,38.4362,37.2413,
129,38.404,37.2746,
130,38.6849,37.6358,
131,38.5003,37.4226,
132,38.7575,37.5979,
133,38.6916,37.7774,
134,38.368,37.0698,
135,39.0008,37.7134,
136,39.0706,37.9454,
137,38.609,37.7092,
138,38.6741,37.534,
139,38.829,37.9929,
140,38.8588,38.0435,
141,38.9438,38.0149,
142,39.2343,38.2029,
143,38.817,37.5828,
144,38.7128,37.5492,
145,38.6168,37.4454,
146,38.7666,37.7538,
147,38.9263,37.9533,
148,39.3119,38.3264,
149,38.8696,37.5758,
150,39.038,38.218,
151,39.0101,37.7766,
152,39.2712,38.1819,
153,39.5591,38.5398,
154,38.9677,37.805,
155,38.9961,37.9527,
156,39.3229,38.0862,
157,39.2706,38.0203,
158,39.5237,38.5128,
159,39.2913,38.3529,
160,39.1228,38.0266,
161,39.3329,38.0767,
162,39.4566,38.5513,
163,39.4191,38.3076,
164,39.3766,38.2608,
165,39.5086,38.3421,
166,39.5493,38.6835,
167,39.612,38.4541,
168,39.4854,38.2309,
169,39.3424,38.4526,
170,39.4253,38.5065,
171,39.6574,38.3717,
172,39.2729,38.3824,
173,39.5301,38.3029,
174,39.3978,38.3517,
175,39.5024,38.5788,
176,39.7725,38.5371,
177,39.5751,38.5525,
178,39.5663,38.5089,
179,39.3052,38.3256,
180,39.7466,38.6501,
181,39.7465,38.8648,
182,40.0702,39.0747,
183,39.5962,38.3115,
184,39.7217,38.7926,
185,39.7479,38.6195,
186,40.0336,39.071,
187,39.7192,38.5325,
188,39.8142,38.9488,
189,39.9001,38.6152,
190,39.836,38.8091,
191,39.7295,38.8115,
192,39.8777,39.041,
193,40.0738,39.1889,
194,39.6739,38.614,
195,39.9259,38.9574,
196,39.7794,38.565,
197,40.1786,39.1632,
198,39.6551,38.7307,
199,39.8681,38.7595,
200,40.0754,38.9221,
